id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
9836,10891,2020,17544,17569,25,35,54,,0,44,44,0,268,268
9837,10892,2020,1415,1413,-2,6,4,,0,-4,-4,0,11,11
9838,10893,2020,2195,2198,3,6,10,,0,8,8,-1,39,39
9839,10894,2020,1927,1925,-2,5,4,,0,-3,-3,0,172,172
9840,10895,2020,48981,49089,108,153,128,,0,81,81,2,164,164
9841,10896,2020,9669,9681,12,28,18,,0,1,1,1,107,107
9842,10899,2020,6773,6733,-40,11,29,,0,-20,-20,-2,0,0
9843,10900,2020,523485,523204,-281,1379,1363,,16,-313,-297,0,7389,7389
9844,10901,2020,161130,160923,-207,407,399,,2,-214,-212,-3,5620,5620
9845,10902,2020,9926,9921,-5,29,34,,0,0,0,0,46,46
9846,10903,2020,109632,109595,-37,220,290,,1,38,39,-6,1943,1943
9847,10905,2020,59574,59829,255,195,137,,0,194,194,3,537,537
9848,10906,2020,15280,15234,-46,35,51,,0,-30,-30,0,2317,2317
9849,10907,2020,39054,38925,-129,100,143,,-1,-83,-84,-2,476,476
9850,10908,2020,28415,28374,-41,51,101,,0,12,12,-3,565,565
9851,10909,2020,1338,1326,-12,3,4,,0,-11,-11,0,285,285
9852,10910,2020,34740,34680,-60,89,133,,0,-15,-15,-1,593,593
9853,10911,2020,45440,45440,0,119,90,,0,-28,-28,-1,3205,3205
9854,10912,2020,1311,1317,6,8,1,,0,0,0,-1,29,29
9855,10913,2020,19988,19927,-61,51,69,,0,-43,-43,0,1766,1766
9856,10914,2020,107824,108113,289,288,250,,-2,253,251,0,955,955
9857,10916,2020,12887,12846,-41,40,40,,0,-41,-41,0,618,618
9858,10917,2020,303069,303312,243,697,854,,27,384,411,-11,9295,9295
9859,10918,2020,19485,19437,-48,53,64,,0,-36,-36,-1,159,159
9860,10919,2020,295911,295742,-169,672,736,,-1,-94,-95,-10,19291,19291
9861,10920,2020,31519,31577,58,97,105,,0,66,66,0,1355,1355
9862,10921,2020,16673,16654,-19,45,57,,0,-6,-6,-1,59,59
9863,10922,2020,21384,21283,-101,85,54,,1,-134,-133,1,583,583
9864,10924,2020,3382,3368,-14,9,7,,0,-15,-15,-1,16,16
9865,10925,2020,48129,48131,2,134,189,,1,58,59,-2,1354,1354
9866,10926,2020,135280,135566,286,310,432,,0,415,415,-7,1928,1928
9867,10927,2020,35805,35837,32,74,94,,0,55,55,-3,2212,2212
9868,10929,2020,33764,33907,143,63,87,,0,166,166,1,3182,3182
9869,10930,2020,26420,26410,-10,77,99,,0,14,14,-2,694,694
9870,10931,2020,22842,22852,10,60,62,,1,11,12,0,3888,3888
9871,10932,2020,25971,25826,-145,54,107,,0,-93,-93,1,4202,4202
9872,10933,2020,5637,5635,-2,13,14,,0,-1,-1,0,1,1
9873,10935,2020,9284,9340,56,21,40,,0,77,77,-2,149,149
9874,10936,2020,31134,31259,125,77,64,,0,115,115,-3,540,540
9875,10937,2020,14188,14168,-20,39,51,,0,-7,-7,-1,130,130
9876,10938,2020,98537,98615,78,217,145,,13,-10,3,3,10515,10515
9877,10939,2020,61685,61776,91,191,100,,1,-3,-2,2,818,818
